Team,Season,player_season_gp,player_season_minutes,player_season_pts,player_season_dreb,player_season_oreb,player_season_reb,player_season_asts,player_season_stl,player_season_blk,player_season_turnover,player_season_pf,player_season_fga,player_season_fgm,player_season_fta,player_season_ftm,player_season_tpa,player_season_tpm,player_career_gp,player_career_minutes,player_career_pts,player_career_dreb,player_career_oreb,player_career_reb,player_career_asts,player_career_stl,player_career_blk,player_career_turnover,player_career_pf,player_career_fga,player_career_fgm,player_career_fta,player_career_ftm,player_career_tpa,player_career_tpm
DEN,2000,42,1051,423,57,131,188,87,30,27,60,105,364,160,104,77,71,25,497,12360,5092,669,1607,2277,1021,369,245,729,1166,4381,1964,1167,859,853,304
DEN,2001,47,1232,505,64,146,211,112,36,22,74,119,438,192,117,87,94,33,450,11827,5075,545,1402,1947,1128,384,189,745,1112,4374,1955,1164,875,843,296
DEN,2002,36,773,263,46,97,144,63,26,17,39,80,223,98,67,51,43,15,288,6119,2255,338,822,1161,479,200,145,374,653,1914,863,605,448,234,78
DEN,2003,51,1096,403,54,115,169,126,41,21,67,96,351,150,106,80,65,22,318,6844,2634,324,812,1137,687,248,173,402,644,2233,981,697,531,395,139
DET,1985,38,1006,468,70,128,199,119,35,20,67,109,387,186,119,93,8,2,656,17474,7962,938,1993,2931,1947,583,293,1201,1640,6678,3136,1963,1545,434,144
DET,1986,37,1013,502,72,133,205,125,33,20,73,111,398,194,141,110,9,2,663,18389,8057,1245,2486,3732,1865,544,361,1211,1804,6391,3091,2273,1752,378,122
DET,1987,38,1019,513,68,119,187,120,32,19,74,110,396,197,149,114,9,2,689,19042,8614,1252,2645,3898,1894,524,424,1291,1964,6717,3307,2483,1880,363,119
DET,1988,44,1207,594,81,124,206,125,38,21,80,117,478,231,162,125,21,6,728,20340,9682,1274,2616,3891,2081,604,396,1411,2040,7640,3734,2709,2076,428,137
DET,1989,43,1094,488,79,122,201,116,32,22,73,111,398,191,129,97,26,8,744,20130,8937,1291,2640,3932,2224,588,382,1370,2026,7293,3478,2407,1809,523,171
DET,1990,42,1054,451,72,116,189,105,28,22,66,106,367,175,117,90,29,9,834,21819,9651,1377,2747,4124,2286,649,523,1452,2218,7944,3797,2484,1876,548,179
DET,1991,42,1144,473,83,143,226,126,33,23,68,107,384,181,130,100,29,9,648,18032,7979,1104,2216,3320,2146,578,318,1256,1693,6458,3082,2187,1648,511,165
DET,1992,44,1220,506,88,150,239,124,42,15,73,105,430,200,127,95,35,10,642,18441,8183,1240,2453,3694,2116,648,285,1278,1718,6660,3195,2157,1598,585,192
DET,1993,54,1399,572,84,149,234,119,45,21,80,123,498,225,138,106,43,14,593,15647,6387,815,1870,2686,1475,484,284,927,1469,5364,2459,1529,1162,834,306
DET,1994,49,1090,450,54,112,166,105,34,29,72,116,389,178,102,76,48,16,490,12219,5121,473,1276,1750,1217,378,224,775,1126,4237,1949,1248,957,713,265
DET,1995,54,1441,627,77,171,249,126,44,25,95,143,515,241,154,112,91,32,622,16384,6728,778,1949,2728,1293,443,367,986,1599,5355,2545,1807,1350,764,286
DET,1996,40,1099,439,57,127,185,102,36,15,67,95,348,160,124,94,65,24,710,18789,7156,968,2312,3281,1637,624,342,1113,1737,5694,2703,2018,1509,661,240
DET,1997,38,1059,426,51,117,169,88,35,20,65,90,343,153,127,95,66,23,599,15631,6054,801,1933,2734,1293,541,359,956,1474,4896,2237,1790,1359,642,220
DET,1998,43,1151,482,57,132,189,101,38,17,72,95,393,177,137,103,68,23,462,11505,4858,559,1355,1915,1078,402,180,747,1035,3943,1801,1375,1057,569,197
DET,1999,32,761,283,36,84,121,66,28,12,45,72,231,102,89,68,31,9,529,12283,4929,630,1612,2243,1020,417,209,754,1200,4020,1828,1406,1075,579,196
DET,2000,34,768,302,51,93,144,50,23,16,45,76,247,112,90,67,30,10,511,11979,4834,703,1524,2227,881,374,258,717,1096,3968,1821,1367,996,556,194
